file_path,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,mfcc21,mfcc22,mfcc23,mfcc24,mfcc25,mfcc26,mfcc27,mfcc28,mfcc29,mfcc30,mfcc31,mfcc32,mfcc33,mfcc34,mfcc35,mfcc36,mfcc37,mfcc38,mfcc39,mfcc40,label
data/audio/Actor_01\03-01-01-01-01-01-01.wav,-726.2172,68.54142,3.2933977,12.2053,5.5102777,13.667408,-2.9838283,3.0980291,-3.3108134,-1.5643841,-7.8616524,-2.1242816,2.849204,-2.6678066,0.9590202,1.6281663,-2.736689,0.2542411,2.6753771,-1.7611659,-1.8864743,-0.97562,-0.37943727,0.40027288,-3.0440438,-2.9012582,-0.10924793,-0.86356527,-3.3332694,-1.9784652,0.45708156,-1.3991096,-2.9268556,0.0139566725,-0.4907339,-0.57090557,0.040399294,-1.2072175,-1.5949817,-1.4364874,neutral
data/audio/Actor_01\03-01-01-01-01-02-01.wav,-719.1283,70.20157,1.168397,13.122543,7.83695,14.41129,-4.1113596,4.468973,-3.5393667,-3.6586075,-7.648504,-1.4770775,3.031821,-2.4618678,0.59473443,0.9784503,-2.8361642,0.07381544,1.759312,-2.0631857,-2.305628,-0.6622538,-0.94788116,0.49746612,-1.6925769,-3.471765,-0.26927552,-0.7767782,-4.091075,-1.2800431,0.27546003,-2.5214698,-2.9876728,0.409735,-0.4841843,-1.3983907,0.2552035,-0.98497844,-2.093061,-1.040791,neutral
data/audio/Actor_01\03-01-01-01-02-01-01.wav,-714.9957,69.68935,3.9245636,11.92419,6.4217234,11.011614,-2.878103,4.5095577,-4.476109,-2.6715493,-7.4992843,-2.9622655,1.8734848,-2.912889,0.52569187,1.3727965,-2.364831,-2.0204957,1.6025527,-1.5617238,-3.7207894,-1.8949177,0.3738067,1.2185683,-2.7771025,-2.725419,-0.8127443,-0.50705564,-2.857712,-1.1507949,-0.0021191824,-0.90915155,-3.0459554,-0.3732941,-0.8491452,-0.9221047,-0.17031972,-1.1444225,-1.7256125,-1.4505605,neutral
data/audio/Actor_01\03-01-01-01-02-02-01.wav,-710.9753,67.56488,5.7822404,13.230726,6.190845,12.628252,-1.6751692,5.6574936,-4.950634,-3.4775453,-7.416558,-1.937004,2.2715254,-0.6112553,0.17463192,1.3954357,-2.391466,-0.66533786,1.7429572,-0.49506834,-3.0143747,-0.97913355,0.534614,0.26846287,-2.3651774,-2.670341,-1.3975948,-0.043934163,-2.1590412,-1.5748215,-0.40380606,-1.3296506,-2.5134046,-0.19027607,-0.64594877,-0.5539186,0.45929855,-1.5800847,-1.6476823,-1.5095106,neutral
data/audio/Actor_01\03-01-02-01-01-01-01.wav,-759.92175,75.78352,6.023605,14.557394,6.4541883,14.631508,-3.0045512,4.6209702,-5.200016,-0.7074301,-7.7902875,-3.5649488,2.18097,-1.8324066,-0.3502733,0.8292604,-2.523554,-0.6612524,2.9179914,-1.9391863,-3.0332396,-0.29330766,-0.24490705,-0.54066634,-2.9568315,-2.1041048,-1.4002061,-0.9253891,-3.722793,-1.9921647,0.206463,-2.1885815,-2.8355005,0.4637458,-1.0191673,-1.4114404,0.3504332,-1.5198916,-1.2501123,-0.6138516,calm
data/audio/Actor_01\03-01-02-01-01-02-01.wav,-735.0066,79.09305,8.141051,11.413549,5.174124,15.393283,-2.7520719,2.9645836,-5.388972,-1.6918324,-5.8528347,-4.0432878,3.0046408,-1.0366161,-0.06775643,0.08821325,-2.2095819,-1.455977,2.5682304,-1.5963124,-2.6786845,-1.4108759,0.11890587,-0.12726349,-2.8479033,-1.7715892,-1.8862904,-0.7911622,-3.215491,-2.1809144,0.2412327,-2.247445,-2.2200978,-0.24941187,-0.97588974,-0.9558535,-0.259044,-2.1528797,-1.9730748,-1.6481354,calm
data/audio/Actor_01\03-01-02-01-02-01-01.wav,-733.5249,81.58986,4.8633575,14.423687,5.2676888,13.96856,-3.0856166,7.1732454,-4.8214383,-0.9674487,-6.2504735,-3.8666399,3.3255188,-1.6680715,1.9813906,0.96502507,-2.9701676,0.92509615,2.6618714,-2.686702,-4.0897026,-1.1427794,-0.04147617,0.6396042,-4.437098,-1.978665,-1.6683791,-0.1296159,-2.6481974,-1.7407794,-0.24314985,-1.4994991,-3.4421828,1.0794884,-1.8406905,-1.1412957,-0.54689205,-1.8944058,-1.67383,-0.97683465,calm
data/audio/Actor_01\03-01-02-01-02-02-01.wav,-728.363,82.324936,7.5005765,12.542465,6.7881255,14.805659,-2.9095802,6.9378386,-4.8443394,-1.8469235,-5.6877103,-3.6666536,2.2403512,-1.4234434,1.2192736,1.1254896,-2.7243207,0.41269553,2.779966,-1.6963866,-3.6588929,-0.6342616,-0.37053522,0.9723827,-4.102185,-2.8252192,-1.5755265,-0.5603832,-1.801743,-1.60203,-0.63597643,-0.9145216,-2.7520132,0.36075667,-1.9869834,-1.1664826,-0.4268781,-2.1698256,-1.7610772,-0.40719295,calm
data/audio/Actor_01\03-01-02-02-01-01-01.wav,-771.62524,83.32755,9.759607,14.268048,6.201727,16.020977,-2.8468983,4.47025,-5.536262,0.87879485,-5.3482485,-3.029556,2.3405733,0.6652834,1.386622,-0.022842715,-2.4285932,0.2481955,2.2790198,-1.0718265,-0.17045932,-2.293886,0.008647524,2.5945902,-3.9040556,-2.8804717,-0.22999467,-0.6346879,-3.3271015,-1.5811126,0.1773048,-1.4821043,-1.4364227,0.69877565,-1.6221269,-0.73856694,-0.6342774,-1.8994279,-2.5306485,-2.0102646,calm
data/audio/Actor_01\03-01-02-02-01-02-01.wav,-733.9896,82.99157,3.7967932,13.411559,3.1084964,16.039553,-5.652945,5.5606713,-7.840987,-1.1772103,-5.7287865,-4.109694,3.882382,-1.043491,1.0040574,-1.4276097,-2.6036158,-0.43864208,1.8452337,-2.6793857,-1.4740663,-1.8256137,-0.25426906,1.7353023,-4.2389956,-2.1476486,-0.5318237,-0.10767618,-3.46728,-1.6796225,-0.39436316,-2.1952236,-2.358054,-0.2694986,-0.91077596,-0.97108686,-1.1833144,-2.2724657,-2.1504445,-2.1373334,calm
